experiment,rho,A,B,estimate,se,expected
feshchenko_check,0.3,"(1,)","(2,)",-0.0026862897085820426,0.001136708850638269,0.0
feshchenko_check,0.3,"(1,)","(3,)",0.3014218867213831,0.001208604175086769,0.3
feshchenko_check,0.3,"(1,)","(2, 3)",0.30140859131049746,0.0012086099604594796,0.3
feshchenko_check,0.3,"(2,)","(3,)",0.0004931934486614422,0.0011527489846070624,0.0
feshchenko_check,0.3,"(2,)","(1, 3)",-0.001597193846597759,0.0011269784728971748,0.0
feshchenko_check,0.3,"(3,)","(1, 2)",0.301415075892348,0.0012086183604106513,0.3
feshchenko_check,0.3,"(1, 2)","(1, 3)",0.005160469636239264,0.004302995512544657,0.0
feshchenko_check,0.3,"(1, 2)","(2, 3)",0.30130385244859476,0.004843852350554191,0.3
feshchenko_check,0.3,"(1, 3)","(2, 3)",-0.005361890228795898,0.004702246203639731,0.0
feshchenko_check,0.3,spectrum,,0.3972232799704668,1.602824740092479,0.4
feshchenko_check,0.3,a2_status,,1.0,0.0,1.0
feshchenko_check,0.6,"(1,)","(2,)",-0.00032742145484448754,0.0011656079113572006,0.0
feshchenko_check,0.6,"(1,)","(3,)",0.6001352197750218,0.00134668381181484,0.6
feshchenko_check,0.6,"(1,)","(2, 3)",0.6001382960472217,0.001346680661684627,0.6
feshchenko_check,0.6,"(2,)","(3,)",0.0007974719282892668,0.0011539986315623311,0.0
feshchenko_check,0.6,"(2,)","(1, 3)",0.0014945423807462114,0.0011626389493451508,0.0
feshchenko_check,0.6,"(3,)","(1, 2)",0.6001357101097525,0.0013466945508258847,0.6
feshchenko_check,0.6,"(1, 2)","(1, 3)",0.004584956560720375,0.006002151576756391,0.0
feshchenko_check,0.6,"(1, 2)","(2, 3)",0.6003521941833774,0.005690674601037909,0.6
feshchenko_check,0.6,"(1, 3)","(2, 3)",0.0029109478793548863,0.005732478281420939,0.0
feshchenko_check,0.6,spectrum,,-0.20039247207665556,2.2003815680695924,-0.19999999999999996
feshchenko_check,0.6,a2_status,,0.0,0.0,0.0
feshchenko_check,0.9,"(1,)","(2,)",-0.0017492908870807215,0.0011498891802488565,0.0
feshchenko_check,0.9,"(1,)","(3,)",0.900307480723642,0.0015523668422475609,0.9
feshchenko_check,0.9,"(1,)","(2, 3)",0.9003068010539136,0.0015523693127776426,0.9
feshchenko_check,0.9,"(2,)","(3,)",-0.0010855315964452467,0.0011474233635678029,0.0
feshchenko_check,0.9,"(2,)","(1, 3)",-0.00019073507691272525,0.0011478526805893427,0.0
feshchenko_check,0.9,"(3,)","(1, 2)",0.9003072979281145,0.0015523646094454525,0.9
feshchenko_check,0.9,"(1, 2)","(1, 3)",0.006033087520762049,0.006787213925505452,0.0
feshchenko_check,0.9,"(1, 2)","(2, 3)",0.8993006155045221,0.003698041686753733,0.9
feshchenko_check,0.9,"(1, 3)","(2, 3)",0.004968219595082678,0.006730642870916742,0.0
feshchenko_check,0.9,spectrum,,-0.8001291550470346,2.800111456957107,-0.8
feshchenko_check,0.9,a2_status,,0.0,0.0,0.0
