experiment,check,rho,value,reference,diff
hermite_verification,machinery_vs_closed,0.0,1.0,1.0,0.0
hermite_verification,machinery_vs_closed,0.3,0.6438345513916962,0.6438345513916965,3.3306690738754696e-16
hermite_verification,machinery_vs_closed,0.5,0.2999999999999988,0.3,1.1657341758564144e-15
hermite_verification,machinery_vs_closed,0.7,0.08816351433800966,0.08816351433801098,1.3183898417423734e-15
hermite_verification,machinery_vs_closed,0.9,0.007612500527179678,0.0076125005271814716,1.7937040741600185e-15
hermite_verification,machinery_vs_closed,0.99,6.756129644790789e-05,6.756129644956868e-05,1.6607944403404518e-15
hermite_verification,machinery_vs_closed,1.0,-1.6283271027835619e-15,0.0,1.6283271027835619e-15
hermite_verification,tanh_prediction_vs_pinned_rbf,0.0,1.0,1.0114,0.011400000000000077
hermite_verification,tanh_prediction_vs_pinned_rbf,0.3,0.7806214594685738,0.7827,0.0020785405314261984
hermite_verification,tanh_prediction_vs_pinned_rbf,0.5,0.4870012829771127,0.4884,0.001398717022887297
hermite_verification,tanh_prediction_vs_pinned_rbf,0.7,0.2045470441967227,0.2086,0.004052955803277303
hermite_verification,tanh_prediction_vs_pinned_rbf,0.9,0.02574819747106969,0.0266,0.000851802528930308
hermite_verification,tanh_prediction_vs_pinned_rbf,0.99,0.00026889283952470536,0.0004,0.00013110716047529466
hermite_verification,tanh_prediction_vs_pinned_rbf,1.0,-5.375231706423397e-09,0.0001,0.00010000537523170643
hermite_verification,mc_optimal_additive,0.3,0.6463249056398188,0.6438345513916965,0.002490354248122273
hermite_verification,mc_optimal_additive,0.5,0.3015359332609822,0.3,0.0015359332609822252
hermite_verification,mc_optimal_additive,0.9,0.007592601221202778,0.0076125005271814716,1.989930597869321e-05
